종목명,종목코드,전일가
TIGER 200TR,310960,21305
TIGER MSCI Korea TR,310970,16105
KODEX 미국FANG플러스,314250,29365
HANARO 농업융복합산,314700,11785
TIGER 200커뮤니케이,315270,30710
KBSTAR 200커뮤니케이,315480,19225
KODEX Top5PlusTR,315930,19395
KBSTAR 대형고배당10T,315960,16460
우리금융지주,316140,12700
KINDEX 싱가포르리츠,316300,12295
KOSEF 코스닥150,316670,7595
자이에스앤디,317400,9250
TIGER 골드선물(H),319640,12965
KBSTAR KRX300미국달,319870,15745
KODEX 멀티에셋하이인,321410,10965
현대에너지솔루션,322000,21400
KINDEX 스마트퀄리티,322120,18165
KINDEX 스마트로우볼,322130,16760
KINDEX 스마트하이베,322150,14770
HANARO e커머스,322400,17590
HANARO 고배당,322410,11325
카카오뱅크,323410,59000
KODEX Fn성장,325010,17630
KODEX 배당가치,325020,13340
SK바이오팜,326030,97200
KBSTAR 내수주플러스,326230,9960
KBSTAR IT플러스,326240,22715
ARIRANG 코스피TR,328370,15240
현대중공업,329180,95200
TIGER 부동산인프라고,329200,6055
KODEX TRF3070,329650,11620
KODEX TRF5050,329660,12800
KODEX TRF7030,329670,13970
TIGER 미국달러단기채,329750,10170
롯데리츠,330590,5550
KOSEF Fn중소형,331910,23920
KINDEX 200TR,332500,24525
ARIRANG 미국단기우량,332610,100155
ARIRANG 미국장기우량,332620,105495
HANARO 200TR,332930,47745
HANARO MSCI Korea TR,332940,16125
ARIRANG KS로우볼가중,333940,13600
ARIRANG KS로우사이즈,333950,17280
ARIRANG KS모멘텀가중,333960,15555
ARIRANG KS밸류가중TR,333970,16350
ARIRANG KS퀄리티가중,333980,15735
KBSTAR 팔라듐선물(H),334690,11255
KBSTAR 팔라듐선물인,334700,5405
이지스밸류리츠,334890,5880
KBSTAR 금융채액티브,336160,102685
두산퓨얼셀,336260,48000
두산퓨얼셀1우,33626K,14500
두산퓨얼셀2우B,33626L,17300
솔루스첨단소재,336370,89300
솔루스첨단소재1우,33637K,22750
솔루스첨단소재2우B,33637L,28100
KODEX Fn멀티팩터,337120,14095
KODEX 코스피대형주,337140,14135
KODEX 200exTOP,337150,13515
KODEX 200ESG,337160,14410
NH프라임리츠,338100,4780
교촌에프앤비,339770,16600
TIGER KIS부동산인프,341850,5780
KINDEX 모닝스타싱가,342140,10085
KCC글라스,344820,59900
HANARO KAP초장기국고,346000,44675
제이알글로벌리츠,348950,5330
이지스레지던스리츠,350520,5220
KODEX TSE일본리츠(H),352540,13115
KODEX 다우존스미국리,352560,15840
하이브,352820,349000
대덕전자,353200,24900
대덕전자1우,35320K,15300
KBSTAR 미국고정배당,354240,10840
HANARO 글로벌럭셔리S,354350,19790
KINDEX 코스닥150,354500,15245
KINDEX KIS종합채권(A,356540,98000
코람코에너지리츠,357120,6490
미래에셋맵스리츠,357250,4900
TIGER CD금리투자KIS(,357870,50565
KODEX 코스피TR,359210,14005
KODEX 200롱코스닥150,360140,10035
KODEX 코스닥150롱코,360150,9260
KINDEX 미국S&P500,360200,14440
TIGER 미국S&P500,360750,14350
KBSTAR 200TR,361580,20615
KBSTAR 코스피ex200,361590,14370
SK아이이테크놀로지,361610,168000
티와이홀딩스,363280,28200
티와이홀딩스우,36328K,23100
SOL KIS단기통안채,363510,100595
KODEX 장기종합채권(A,363570,95310
KODEX 200IT TR,363580,14290
KODEX 혁신기술테마액,364690,13230
TIGER KRX BBIG K-뉴,364960,11485
TIGER KRX바이오K-뉴,364970,8610
TIGER KRX2차전지K-뉴,364980,16615
TIGER KRX게임K-뉴딜,364990,12570
TIGER KRX인터넷K-뉴,365000,11145
TIGER AI코리아그로스,365040,13400
ESR켄달스퀘어리츠,365550,6330
KINDEX 국고채10년,365780,95015
KINDEX 미국나스닥100,367380,15075
HANARO Fn5G산업,367740,13915
KBSTAR Fn5G테크,367760,11040
KBSTAR Fn수소경제테,367770,11385
HANARO Fn K-뉴딜디지,368190,11610
KBSTAR Fn K-뉴딜디지,368200,11630
KINDEX Fn K-뉴딜디지,368470,13915
KBSTAR 미국나스닥100,368590,14620
KODEX Fn K-뉴딜디지,368680,11625
KINDEX 블룸버그베트,371130,21705
KBSTAR 차이나항셍테,371150,7235
TIGER 차이나항셍테크,371160,7205
TIGER 글로벌클라우드,371450,11350
TIGER 차이나전기차SO,371460,17730
TIGER 차이나바이오테,371470,9905
KINDEX 차이나항셍테,371870,7115
KODEX 차이나항셍테크,372330,7225
한컴라이프케어,372910,8870
KODEX K-이노베이션액,373490,11505
ARIRANG 신흥국MSCI인,373530,9555
KOSEF 미국방어배당성,373790,12860
KBSTAR 글로벌데이터,375270,13205
DL이앤씨,375500,119000
DL이앤씨우,37550K,69800
HANARO 탄소효율그린,375760,9760
KODEX 탄소효율그린뉴,375770,9810
ARIRANG 탄소효율그린,376250,9785
TIGER 탄소효율그린뉴,376410,9815
디앤디플랫폼리츠,377190,5400
카카오페이,377300,174500
TIGER Fn신재생에너지,377990,9640
화승알앤에이,378850,5140
KBSTAR 미국S&P500,379780,12470
KBSTAR 유로스탁스50(,379790,11030
KODEX 미국S&P500TR,379800,12560
KODEX 미국나스닥100T,379810,12910
KINDEX Fn5G플러스,380340,9815
엔에이치스팩19호,380440,2065
TIGER 미국테크TOP10,381170,13265
TIGER 미국필라델피아,381180,12825
HANARO Fn전기&수소차,381560,9595
HANARO Fn친환경에너,381570,10580
케이카,381970,34100
F&F,383220,945000
LX홀딩스,383800,10000
LX홀딩스1우,38380K,15200
KODEX K-신재생에너지,385510,11955
KODEX K-미래차액티브,385520,11605
KBSTAR KIS종합채권(A,385540,99815
KBSTAR KIS단기종합채,385550,100320
KBSTAR KIS국고채30년,385560,98750
네비게이터 ESG액티브,385590,9450
네비게이터 친환경자,385600,11490
TIMEFOLIO BBIG액티브,385710,11390
TIMEFOLIO Kstock액티,385720,10605
TIGER 글로벌BBIG액티,387270,12270
TIGER 퓨처모빌리티액,387280,12150
KBSTAR Fn컨택트대표,388280,9495
KBSTAR 비메모리반도,388420,11360
KODEX 미국반도체MV,390390,12630
KODEX 미국스마트모빌,390400,9335
HANARO 단기채권액티,390950,100355
KINDEX 미국스팩&IPO,391590,9430
KINDEX 미국친환경그,391600,10040
HK 베스트일레븐액티,391670,9705
HK 하이볼액티브,391680,9225
KOSEF 릭소글로벌디지,394340,10150
KOSEF 릭소글로벌퓨처,394350,12025
TIGER 글로벌자율주행,394660,11700
TIGER 글로벌리튬&2차,394670,11425
KODEX Fn웹툰&드라마,395150,9555
KODEX Fn시스템반도체,395160,10595
KODEX Fn Top10동일가,395170,8930
HANARO Fn K-반도체,395270,10875
HANARO Fn K-게임,395280,10410
HANARO Fn K-POP&미디,395290,10610
SK리츠,395400,6160
ARIRANG ESG가치주액,395750,9530
ARIRANG ESG성장주액,395760,9695
TIGER Fn반도체TOP10,396500,10495
TIGER 차이나클린에너,396510,10325
TIGER 차이나반도체FA,396520,9560
미래에셋글로벌리츠,396690,5550
KBSTAR 국채선물5년추,397410,50730
KBSTAR 국채선물5년추,397420,49425
SOL 미국S&P500ESG,399110,11090
KBSTAR 글로벌클린에,399580,9075
KODEX 유럽탄소배출권,400570,12715
SOL 유럽탄소배출권선,400580,12675
SOL 글로벌탄소배출권,400590,12190
NH올원리츠,400760,5190
TIGER Fn메타버스,400970,12775
KBSTAR iSelect메타버,401170,12250
KODEX K-메타버스액티,401470,13355
HANARO 글로벌탄소배,401590,11910
SK스퀘어,402340,66400
HANARO Fn K-메타버스,402460,12315
FOCUS 혁신기업액티브,402520,9920
KINDEX 미국고배당S&P,402970,10620
마이다스 KoreaStock,403790,20770
KBSTAR KRX기후변화솔,403990,10080
TIMEFOLIO 탄소중립액,404120,9770
KODEX KRX기후변화솔,404260,10065
HANARO KRX기후변화솔,404470,10055
TIGER KRX기후변화솔,404540,10100
SOL KRX기후변화솔루,404650,10055
신한서부티엔디리츠,404990,5000
MASTER 테크미디어텔,407160,10505
MASTER 스마트커머스,407170,9770
HANARO Fn골프테마,407300,9460
HANARO 200 TOP10,407310,9735
에셋플러스 코리아플,407820,10025
에셋플러스 글로벌플,407830,9130
KODEX 미국나스닥100,409810,9870
KODEX 미국나스닥100,409820,10145
TIMEFOLIO K컬처액티,410870,10030
네비게이터 글로벌메,411050,10330
KINDEX KRX금현물,411060,10095
KODEX 미국메타버스나,411420,10145
SOL 200 Top10,411540,9855
KBSTAR 글로벌메타버,411720,10340
KOSEF 독일DAX,411860,10255
TIGER KRX BBIG K-뉴,412560,9375
TIGER KRX2차전지K-뉴,412570,9885
TIGER 글로벌메타버스,412770,10300
SOL 차이나태양광CSI(,413220,9935
엘브이엠씨홀딩스,900140,3640
프레스티지바이오파마,950210,20850
신한 K200 USD 선물,500001,13385
신한 USD K200 선물,500002,5010
신한 인버스 WTI원유,500003,4480
신한 브렌트원유 선물,500004,9895
신한 인버스 브렌트원,500005,3885
신한 인버스 금 선물,500006,6570
신한 인버스 은 선물,500007,4980
신한 인버스 구리 선,500008,5335
신한 다우존스지수 선,500009,21905
신한 인버스 다우존스,500010,3720
신한 달러인덱스 선물,500011,10660
신한 인버스 달러인덱,500012,9235
신한 옥수수 선물 ETN,500013,9860
신한 인버스 옥수수,500014,7650
신한 WTI원유 선물 ET,500015,5595
신한 금 선물 ETN(H),500016,13660
신한 은 선물 ETN(H),500017,12395
신한 구리 선물 ETN(H,500018,19205
신한 레버리지 WTI원,500019,900
신한 레버리지 다우존,500020,38940
신한 콩 선물 ETN(H),500023,11325
신한 인버스 콩 선물,500024,7680
신한 인버스 2X WTI원,500027,350
신한 인버스 2X 다우,500028,1925
신한 레버리지 은 선,500029,8395
신한 인버스 2X 은 선,500030,2525
신한 인버스 2X 천연,500032,1975
신한 레버리지 미국달,500035,11870
신한 인버스 2X 미국,500036,7255
신한 레버리지 금 선,500037,16550
신한 인버스 2X 금 선,500038,5255
신한 레버리지 구리,500040,22575
신한 인버스 2X 구리,500041,2670
신한 레버리지 S&P500,500050,23265
신한 인버스 2X S&P50,500051,2500
신한 레버리지 천연가,500053,6175
신한 인버스 2X 천연,500054,2945
신한 인버스 Russell,500055,8235
신한 레버리지 Russel,500056,14900
신한 인버스 2X Russe,500057,6060
신한 S&P500 VIX S/T,500058,7485
신한 FnGuide 메타버,500059,12560
신한 코스피 200 ETN,500060,10120
신한 인버스 코스피 2,500061,9680
신한 코스닥 150 ETN,500062,10535
신한 인버스 코스닥 1,500063,9240
대신 WTI원유 선물 ET,510001,7700
대신 아연선물 ETN(H),510002,13405
대신 니켈선물 ETN(H),510003,19035
대신 인버스 아연선물,510004,6755
대신 2X 아연선물 ETN,510005,11105
대신 인버스 니켈선물,510006,4265
대신 2X 니켈선물 ETN,510007,21075
대신 철광석 선물 ETN,510008,40770
대신 인버스 철광석,510009,1300
대신 인버스 2X 니켈,510010,2915
대신 골드 커버드콜,510011,13370
대신 알루미늄 선물 E,510014,12265
대신 밀 선물 ETN(H),510015,11005
대신 천연가스 선물 E,510016,12170
대신 2X 철광석 선물,510017,12435
대신 인버스 알루미늄,510018,9280
대신 인버스 천연가스,510019,9300
미래에셋 원자재 선물,520003,11730
미래에셋 전기전자 Co,520004,35485
미래에셋 인버스 전기,520005,2155
미래에셋 에너지화학,520006,14910
미래에셋 인버스 에너,520007,4740
미래에셋 레버리지 원,520009,6340
미래에셋 원유선물혼,520010,21980
미래에셋 인버스 원유,520011,6270
미래에셋 Q150 Core5,520013,11170
미래에셋 미디어엔터,520014,16115
미래에셋 인버스 미디,520015,9830
미래에셋 코스피 양매,520026,8595
미래에셋 KRX금현물 A,520030,10475
미래에셋 K200 Auto-K,520032,11360
미래에셋 레버리지 은,520033,16730
미래에셋 인버스 2X,520034,23220
미래에셋 KRX금 Auto-,520035,10660
미래에셋 KRX 금Auto-,520036,9465
미래에셋 코스피200,520037,10230
미래에셋 인버스 코스,520038,9690
미래에셋 코스닥150,520039,10720
미래에셋 인버스 코스,520040,9245
미래에셋 코스닥150 A,520041,11515
미래에셋 코스닥150 A,520042,8400
미래에셋 S&P 유럽탄,520043,13435
미래에셋 K200 Auto-K,520044,9740
미래에셋 K200 Auto-K,520045,10010
미래에셋 레버리지 옥,520046,21425
미래에셋 인버스 2X,520047,19045
삼성 인버스 China A5,530002,8585
삼성 China A50 선물,530014,17955
삼성 미국 대형 성장,530015,25325
삼성 미국 대형 가치,530016,16595
삼성 미국 대형 성장,530019,26160
삼성 미국 대형 가치,530020,17160
삼성 레버리지 China,530023,50470
삼성 레버리지 WTI원,530031,1130
삼성 인버스 2X WTI원,530036,355
삼성 코스피 풋매도 E,530053,11580
삼성 레버리지 금 선,530055,29810
삼성 인버스 2X 금 선,530056,9460
삼성 코스피 양매도 5,530060,8605
삼성 레버리지 은 선,530061,13920
삼성 인버스 2X 은 선,530062,1735
삼성 레버리지 구리,530063,20185
삼성 인버스 2X 구리,530064,2735
삼성 코스피 풋매도 4,530066,11260
삼성 KRX 금현물 ETN,530067,12105
삼성 레버리지 천연가,530068,11115
삼성 인버스 2X 천연,530069,7665
삼성 레버리지 나스닥,530070,16555
삼성 인버스 2X 나스,530071,5125
삼성 S&P500 VIX S/T,530072,7125
삼성 HSCEI ETN(H),530073,7325
삼성 인버스 HSCEI ET,530074,12965
삼성 레버리지 HSCEI,530075,5165
삼성 인버스 2X HSCEI,530076,16060
삼성 나스닥 100 ETN(,530077,11740
삼성 인버스 나스닥 1,530078,8315
삼성 항셍테크 ETN(H),530079,7415
삼성 인버스 항셍테크,530080,12510
삼성 레버리지 항셍테,530081,5145
삼성 인버스 2X 항셍,530082,14680
삼성 금 선물 ETN(H),530083,9930
삼성 인버스 금 선물,530084,9940
삼성 KRX BBIG K-뉴딜,530085,8390
삼성 레버리지 KRX BB,530086,6755
삼성 KRX 2차전지 K-,530087,9360
삼성 레버리지 KRX 2,530088,8490
삼성 은 선물 ETN(H),530089,9110
삼성 인버스 은 선물,530090,10725
삼성 코스피 200 ETN,530091,10135
삼성 인버스 코스피 2,530092,9685
삼성 코스닥 150 ETN,530093,10590
삼성 인버스 코스닥 1,530094,9275
삼성 구리 선물 ETN(H,530095,10025
삼성 인버스 구리 선,530096,9875
QV 미국 IT TOP5 ETN(,550041,34310
QV 레버리지 WTI원유,550042,870
QV 인버스 레버리지 W,550043,320
QV 레버리지 S&P500 E,550044,31300
QV 인버스 레버리지 S,550045,1665
QV 코스피 변동성 매,550057,8260
QV iSelect 글로벌 EM,550059,10965
QV S&P500 VIX S/T 선,550060,7500
QV 인버스 미국 IT TO,550061,8925
QV 레버리지 금 선물,550062,19580
QV 인버스 레버리지,550063,19630
QV 레버리지 은 선물,550064,16280
QV 인버스 레버리지,550065,22590
QV S&P500 버퍼10% 9,550066,10320
QV 코스피 200 ETN,550067,40740
QV 코스닥 150 ETN,550068,15885
QV 레버리지 구리 선,550069,20170
QV 인버스 레버리지,550070,19395
TRUE 코스피 양매도 5,570019,8935
TRUE 레버리지 S&P500,570022,30035
TRUE 인버스 2X S&P50,570023,1690
TRUE 인버스 유로스탁,570025,5530
TRUE 인버스 2X 유로,570027,2725
TRUE 인버스 HSCEI ET,570028,11335
TRUE 코스피 양매도 3,570029,8480
TRUE 레버리지 HSCEI,570031,5995
TRUE 인버스 2X HSCEI,570032,8950
TRUE 인버스 나스닥 1,570042,3960
TRUE 레버리지 나스닥,570043,35795
TRUE 인버스 2X 나스,570044,1315
TRUE 레버리지 천연가,570045,5750
TRUE 인버스 2X 천연,570046,6000
TRUE FTSE100 ETN,570047,14310
TRUE 유로스탁스50 양,570048,10590
TRUE S&P500 양매도 4,570049,11185
TRUE S&P500 선물 ETN,570050,14300
TRUE 나스닥 100 ETN,570051,14785
TRUE 플래티넘 선물 E,570052,8085
TRUE 인버스 플래티넘,570053,13045
TRUE 레버리지 유로스,570054,12760
TRUE 금 선물 ETN,570055,10290
TRUE 인버스 금 선물,570056,10565
TRUE 은 선물 ETN,570057,8750
TRUE 인버스 은 선물,570058,12095
TRUE 레버리지 금 선,570059,20315
TRUE 인버스 2X 금 선,570060,20380
TRUE 레버리지 은 선,570061,16765
TRUE 인버스 2X 은 선,570062,23085
TRUE 베트남 VN30 선,570063,10535
TRUE 인버스 베트남 V,570064,9425
TRUE 레버리지 베트남,570065,22210
TRUE 인버스 2X 베트,570066,17505
TRUE 코스피 200 ETN,570067,10125
TRUE 코스닥 150 ETN,570068,10580
TRUE 구리 선물 ETN,570071,10140
TRUE 레버리지 구리,570072,20280
TRUE 인버스 2X 구리,570073,19675
TRUE S&P 유럽탄소배,570074,13605
KB Wise 분할매매 ETN,580010,11250
KB FnGuide 언택트 ET,580011,14105
KB KRX ESG Eco ETN,580013,12130
KB 인버스 2X 나스닥,580014,5570
KB 레버리지 나스닥 1,580015,18045
KB 레버리지 S&P 500,580016,13455
KB 인버스 2X S&P 500,580017,7530
KB 레버리지 항셍테크,580018,4245
KB 인버스 2X 항셍테,580019,17950
KB 천연가스 선물 ETN,580020,12200
KB 인버스 천연가스,580021,13845
KB 레버리지 금 선물,580022,19610
KB 인버스 2X 금 선물,580023,19620
KB 레버리지 KRX BBIG,580024,6785
KB 레버리지 KRX 2차,580025,8485
KB 레버리지 은 선물,580026,16300
KB 인버스 2X 은 선물,580027,22575
KB KOSPI 200 선물 ET,580028,10270
KB 인버스 KOSPI 200,580029,9660
KB KOSDAQ 150 선물 E,580030,10725
KB 인버스 KOSDAQ150,580031,9240
KB 레버리지 구리 선,580032,20030
KB 인버스 2X 구리 선,580033,19370
미래에셋 중국 심천 1,590018,20480
메리츠 인플레이션 국,610001,10270
메리츠 레버리지 인플,610002,10475
메리츠 미국 인플레이,610003,10585
메리츠 미국레버리지,610004,11140
메리츠 레버리지 KRX3,610005,8530
메리츠 인버스 2X KRX,610006,11190
메리츠 국채30년 ETN,610007,9370
메리츠 레버리지 국채,610008,8705
메리츠 인버스 국채30,610009,10635
메리츠 인버스 2X 국,610010,11310
메리츠 금 선물 ETN(H,610011,9885
메리츠 레버리지 금,610012,19400
메리츠 인버스 2X 금,610013,20055
메리츠 은 선물 ETN(H,610014,9115
메리츠 인버스 은 선,610015,10735
메리츠 레버리지 은,610016,16290
메리츠 인버스 2X 은,610017,22605
메리츠 국채10년 ETN,610018,10270
메리츠 레버리지 국채,610019,10520
메리츠 인버스 국채10,610020,9745
메리츠 인버스 2X 국,610021,9485
메리츠 미국채10년 ET,610022,10060
메리츠 레버리지 미국,610023,10090
메리츠 인버스 미국채,610024,9945
메리츠 인버스 2X 미,610025,9875
메리츠 구리 선물 ETN,610026,10040
메리츠 인버스 구리,610027,9880
메리츠 레버리지 구리,610028,20010
메리츠 인버스 2X 구,610029,19460
메리츠 S&P 유럽탄소,610030,13605
메리츠 S&P 유럽탄소,610031,13435
메리츠 CSI 300 ETN,610032,10045
메리츠 STAR 50 ETN,610033,9320
메리츠 대표 농산물,610034,10330
메리츠 레버리지 대표,610035,21470
메리츠 인버스 2X 대,610036,18540
하나 코스피 변동성추,700001,7985
하나 KRX300 ETN,700002,10585
하나 KRX BBIG K-뉴딜,700003,8620
하나 레버리지 KRX BB,700004,6755
하나 코스닥150 선물,700007,10685
하나 인버스 코스닥15,700008,9225
하나 레버리지 구리,700009,20010
하나 인버스 2X 구리,700010,19370
하나 레버리지 옥수수,700011,21140
하나 인버스 2X 옥수,700012,18730
하나 레버리지 콩 선,700013,23085
하나 인버스 2X 콩 선,700014,17140
